Site,Parent,Profit Status,PI Name,NPI Number,Street Address,Zip Code,City,State,2024 Payments,Top Therapeutic Area,Top Protocol,Website
Alaska Oncology And Hematology,,FPO,Steven Liu,1164462834,"2925 DeBarr Rd Building D, Suite 300, Anchorage, AK 99508, USA",99508,Anchorage,AK,1975359.16,Oncology,CABL001AUS08,http://alaskaoncology.com/
Alaska Spince Centerurology,,FPO,Patrick Higgins,1285642470,188 W Northern Lights Blvd Ste 800,99503,Anchorage,AK,559286.08,Ophthalmology,22153,Not Found
Orthopedic Physicians Alaska,,FPO,John Botson,1881700334,"3801 Lake Otis Pkwy, Anchorage, AK 99508, USA",99508,Anchorage,AK,450339.01,Rheumatology,HZNP-KRY-409,https://www.opalaska.com/?utm_source=GMBSocialClimb&utm_medium=OPA%E2%80%93OrthopedicPhysiciansAlaska
Alaska Cardiovascular Research Foundation,,NPO,Jacob Kelly,1851551949,3841 Piper St,99508,Anchorage,AK,138256.96,Cardiology,CKJX839B12302,Not Found
Advanced Cardiovascular,,FPO,Brian Foley,1871539593,"1649 AL-22, Alexander City, AL 35010, USA",35010,Alexander City,AL,509655.5,Cardiology,70033093AFL3002,None
Sec Clinical Research,,FPO,Guy Middleton,1053410993,822 S Three Notch St Ste B,36420,Andalusia,AL,1263714.01,Infectious Disease,mRNA-1647-P301,None
Pinnacle Research Group,Pinnacle Clinical Research,FPO,Almena Free,1144244070,"409 E 10th St Suite 200, Anniston, AL 36207, USA",36207,Anniston,AL,2181117.69,Infectious Disease,mRNA-1010-P303,http://www.pinnacletrials.com/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness
North Alabama Research Center,New Horizon Research Group,FPO,Christopher Edwards,1619187663,"721 Market St W # B, Athens, AL 35611, USA",35611,Athens,AL,1880721.89,Infectious Disease,mRNA-1010-P303,https://newhorizonresearchgroup.com/
University Of Alabama,University Of Alabama,NPO,Arnab Basu,1669734083,619 19th St S,35249,Birmingham,AL,46775381.74,Oncology,AV-951-20-304,Not Found
Heart Rhythm Clinical And Research Solutions,,FPO,Jose Osorio Filho,1821201690,1500 1st Avenue Northunit # 77,35201,Birmingham,AL,4990757.14,Cardiology,RAF,None
